"Title","Authors","Abstract"
"Ask ELIS and SearchDoc: information specialists at your desktop","Peggy W. Westlake, coordinator, Online Information Services; Dawn Williams, coordinator, Online Evidence Based Services; Nunzia Giuse, M.D., director; and Frances H. Lynch, AHIP, associate director; Eskind Biomedical Library, Vanderbilt University Medical Center, Nashville, TN","Incorporating information into practice and optimizing resource utilization are important issues in today’s health care climate. The proliferation of varied electronic products and methods of access complicate efficient use of information. To facilitate effective information use at point of need, Vanderbilt’s Eskind Biomedical Library expands the librarian’s role as instructor, search mentor, and information provider using two asynchronous Web-based reference services—Ask ELIS and SearchDoc—which partner pagers and the Web to reach non-traditional patrons. Ask ELIS and SearchDoc accept unlimited queries twenty-four hours a day and provide Web-linked responses to the researcher’s desktop, the student’s home office, the nurses’ station, or the physician’s clinic in a reusable, archival format. Notified of the question via pager and email, the Ask ELIS and SearchDoc librarians email an answer or triage the query to the most knowledgeable source, whether part of the library or not. Answers to queries include linked Websites and targeted search strategies that can be copied into suggested databases or search engines; answers are not limited to information within the library’s traditional purview but expand to unaffiliated Websites, university departments, and agencies and organizations. Data collected provides essential information for collection development, training, technical access planning, and Web design to further promote the library’s expanded presence.",
"Enhancing instructions in EndNote for a biomedical community","Patricia A. Carney, reference librarian, and James Comes, associate director, Lamar Soutter Library, University of Massachusetts–Worchester","The advent of the Internet and the resulting information explosion mandates that researchers have the means to manage information at the local level. Bibliographic management tools such as EndNote offer the researcher the means to accomplish this goal. The Lamar Soutter Library Reference Department, through a customer service initiative, has developed a supportive training and instructional program utilizing EndNote. Needs and interests of the students and faculty for a bibliographic management tool were surveyed informally through the library’s Liaison Program and the Reference Desk. The survey identified minimal knowledge of bibliographic management tools and inefficient and time-consuming manual practices used to manage citations. This poster describes a program developed to provide a timeand labor-saving means to systematically collect, apply, and manage information for grant applications, journal submissions, and various other research activities. The goals were: • to have each member of the Reference Department become part of a resource group with the ability to teach, support, and promote the use of EndNote to develop strategies and activities to promote the program to support patrons converting existing bibliographies to EndNote libraries to create an email discussion list to support users of the program One member of the department was assigned to learn EndNote and develop a train-the-trainer program. Nursing and departments within the Graduate School of Biomedical Sciences were selected and offered introductory programs. Contact with users of EndNote made it evident that they were not using the program to its full potential. Reeducation became part of the plan as well as providing fixes when users experienced glitches. An advanced program was developed to teach broader information-management skills. Marketing was done through personal contact with department heads, the Liaison Program, communication with active researchers, new faculty, the Office of Research, the Office of Medical Education, and various in-house print media. The program will be evaluated through a survey in the spring of 2001, and the findings will be reported."
"Utilizing patron trends to target and meet patron needs","Kathleen Bauer, reference librarian, Yale University, Cushing/Whitney Medical Library, New Haven, CT","Purpose: Describe the provision of reference services in the context of other trends in the library. Examine and analyze statistical data to target and develop marketing materials for remote users. Setting: Cushing/Whitney Medical Library service points: the reference desk, circulation desk, historical library, and remote access points. Methodology: Data gathered during two randomly selected days each month to measure reference and circulation trends. Other data gathered using Web server analysis, data from vendors, and Ovid and electronic journal use. Results: Reference questions transacted away from the reference desk accounted for a statistically significant portion of all reference activity in the library. When looking at reference transactions occurring at the desk and remotely, 20% of the in-depth reference questions and 13.8% of the technical questions were handled remotely. A larger portion of remote activity consisted of in-depth reference or technical transactions (36.2% of all remote transactions versus 24% of questions at the desk). In overall library statistics, the usage of electronic resources showed rapid growth (55.6% increase in use of Ovid full text journals and 36.8% increase in use of electronic textbooks), while circulation of print materials and activity at the reference desk continued to decline (-8.3% and -11% respectively). Discussion/Conclusion: These results indicate that a major shift has occurred in the way patrons are using the Cushing/Whitney Medical Library. The patron has become increasingly likely to use the library through its Website and its electronic resources. This trend will continue as more journals and textbooks are delivered electronically to patrons and will accelerate in the near future as the library begins to cancel print subscriptions. To remain relevant and useful to patrons, reference staff must work to serve patrons at remote and electronic access points. The library must be proactive in examining the needs, behaviors, and expectations of remote users and to increase the library’s visibility by developing new marketing techniques to reach the remote user.",
"Search templates versus filters: comparative experiences in identifying information on","Mary W. Wood, librarian, Center for Animal Alternatives, School of Veterinary Medicine, University of California–Davis; and Stuart J. Nelson, M.D., head, Medical Subject Headings Section, National Library of Medicine, Bethesda, MD","Background: Information on realistic alternatives to using animals in teaching and research is dispersed in a wide range of literature and the search for that information can be elusive. Biomedical researchers are required to search for alternatives; however, their results are usually less than satisfactory. In order to assist the research scientist, the center has developed many tools and resources. The most recent development at the center has been the creation of templates, stored search strategies on a variety of topics, which are embedded in a Web document and accessible by all. Another way to assist the user in narrowing a search to only the most useful documents is by the use of search filters. Search filters enable a user to combine the filter with an area of interest to formulate a sophisticated search strategy. NLM has had success with the MEDLINE search filters in Clinical Queries. The potential advantages and disadvantages of the two approaches were explored. Methodology: Prototypes of filters and templates were developed for a variety of analogous topics. In some cases, the analogous approach for several templates was included in a single filter strategy. Results of retrievals from MEDLINE searching were then compared. Results/Outcome: Technology is allowing for ever-increasing sophistication while assisting users in locating information. Search templates have proven to be a useful tool in the search for very specific alternatives information. However, maintenance of the templates and providing a sufficient number to address the large number of potential searches that may be needed by researchers presents a logistical problem. The development of search filters would perhaps allow for a wider application and a broader approach to the subject. Difficulties include training the users of the filters about their appropriate use, some loss of specificity in the retrieval, and ensuring that optimal search strategies are being used."
"A team odyssey: creating a PubMed Web tutorial for use outside the classroom","Tara M. Tobin, reference librarian; Barbara W. Francis, AHIP, reference librarian; Health Science Center Libraries, University of Florida– Gainesville; Susan McCullough, coordinator, Education, Borland Library, University of Florida–Jacksonville; and Ramona Miller, reference librarian, Library, Santa Fe Community College, Gainesville, FL","Setting: The University of Florida Health Science Center Libraries (HSCL) include a large, academic library with the main branch and a Veterinary Medicine Reading Room in Gainesville, FL, and the Borland Library in Jacksonville, FL. The libraries serve the six health sciences center colleges of medicine, dentistry, nursing, pharmacy, health professions, and veterinary medicine. Project Description: In 1999, a group of interested librarians at the HSCL met to begin the creation of a Web-based tutorial for their distance and on-campus clients to use outside the classroom setting. Based on several criteria, they chose the National Library of Medicine’s PubMed database for this project. Using the various expertise and levels of experience of the participants to their best advantage, this team created a user-friendly, Web-based tutorial and launched it in February of 2000. This presentation will address the creation process, what worked and what did not and the importance of teamwork. Results: The tutorial is a continual work in progress as PubMed itself develops and changes. It has been well received by the Health Science Center Libraries’ community as well as national and international institutions. The tutorial is benefiting students and residents on rotations outside of Gainesville who would not otherwise get instruction and also serves as a refresher for those who have had classroom instruction. Evaluation: Periodic reports of the tutorial’s user base are done. A feedback form on the tutorial itself provides valuable information as well as suggestions for improvements and enhancements."
"Studies on Canadian eye care information on the Web","Ruiling Guo, medical librarian, Medical Library, Henan Institute of Ophthalmology, Zhengzhou, China ; and Jochen Moehr, School of Health Information Science, University of Victoria, Victoria, Canada","Purpose: Investigate Canadian eye care organizations on the Web, evaluate and compare their Websites’ features and design, and analyze the information the eye care Websites provide. Methodology: A search of the Web for selecting eye care organizations was conducted, and twenty-nine were determined to be assessment sources. Two instruments for assessment were used. The quantitative assessment instrument was done with a checklist of features containing forty-four items, which were grouped into four sections: general information, site design and technical aspects, eye care information, and external links and interactive tools. The qualitative assessment instrument was the categorical rating scale on which the Websites were rated on ten dimensions. Results: In this study, it was found that there was a strong correlation (r = 0.89, P < 0.001) between the number of features investigated at a Website and its score on the categorical rating scale. As compared with the universities and their affiliations, eye companies had more features on site design and technical aspects with attractive graphics and more features on common eye problems and surgical treatment. Eye problems, eye health education and training, and finding eye care professionals had higher scores. On the contrary, the information on eye research had lower scores. Discussion/Conclusion: The present study indicates that twenty-nine eye care Websites have provided much eye health information for patients, the general public, and health care providers. Through these Websites, very useful resources, such as common ocular problems, diagnosis, treatment and prevention, online seminars, latest news on eye education, finding eye doctors, and so on can be accessible, although each eye site has a distinct goal on its own. The two instruments used were shown helpful in evaluating the eye Websites. It is suggested that some aspects in designing an eye Website might be improved and some contents should be included."
"Repetitive strain injuries: a survey of medical libraries in Southern California and Arizona","Terri J. Ottosen, AHIP, information specialist, Norris Medical Library, University of Southern California–Los Angeles","Purpose: This poster will report on the prevalence and rate of incidence of repetitive strain injuries in medical library workers. Setting/Subjects: 164 medical libraries in Southern California and Arizona are surveyed to determine the extent of the problem among professional and paraprofessional staff. Methodology: Questionnaire. Results: Many studies have been conducted on the problem of repetitive strain injuries (RSIs) and ergonomics among library workers. An even greater number of studies have focused on the problem in other industries. Previous research examined the types of injuries, results of institutional efforts to prevent RSIs, personal narratives of afflicted workers, and ergonomic issues such as job and workstation design. This poster will analyze the results of a survey to establish a baseline measurement of RSIs in medical libraries, including the number of employees affected, their job titles, specific job duties, area of the body affected, medical diagnosis, treatments given, and necessity of modifying the employee’s duties as a result. Discussion/Conclusion: Survey analysis estimates the amount of lost work hours and those activities that cause the greatest potential for injury. The information derived from the survey will be helpful in future research to determine whether these types of injuries are increasing and if the rates found in medical libraries are similar to those in the public library sector."
"Informatics training to prepare faculty for a new case-based medical school curriculum","Kelly M. Moore, coordinator, Health Information Education, Louis Calder Memorial Library; Carmen Bou Rivera, coordinator, Library Services, and head, Pomerance Library and Resource Center, Department of Psychiatry and Behavioral Sciences; and Joaquin Arriaga, director, Reference and Education Services, Louis Calder Memorial Library; School of Medicine; University of Miami–Miami","Purpose: To identify core competencies and develop educational programs in medical informatics that effectively prepare clinical and research faculty for a new case-based curriculum at the school of medicine. Settings/Subjects: Department of psychiatry and behavioral sciences faculty at a private academic medical center with a publicly funded teaching hospital within a large urban community. Methodology: Based on the core competencies in medical informatics identified by Florance at the University of Rochester and a needs assessment of department of psychiatry and behavioral sciences, faculty, library and departmental faculty and administrators identified four competencies needed by faculty in preparation for a case-based curriculum: computer literacy, communications, information management, and computer-aided learning. Library faculty then identified members of the library faculty and staff with the required skills to develop and implement a series of eleven one-and-one-half-hour sequential classes for the four competencies. A total of sixty-eight classes were given during a six-week period to small groups of two to three faculty members at times convenient to the faculty members. The classes emphasized computer applications and skills, utilized the most current technology, and included demonstrations and hands-on exercises. Results/Discussion: Department of psychiatry and behavioral sciences faculty acquired and began to improve the health informatics competencies needed to effectively teach in the new case-based curriculum to be implemented in the fall 2001. A cadre of six instructors with a high skill level in one or more of the core competencies was required to implement the sixty-eight classes and ensure optimal learning. Evaluation: Responses and comments to an anonymous questionnaire distributed to faculty who participated in the training indicated a high level of satisfaction with the training in four core competencies in health informatics."
"Consumer health information for California: collaborating for access","Elisa Cortez, reference librarian; Carlene Bogle, chair, Public Services; Marissa Smith, Del E. Webb Library, Loma Linda University, Loma Linda, CA; and Heidi Thiessen Sandstrom, coordinator, Consumer Health Information Services, Pacific Southwest Regional Medical Library, University of California–Los Angeles","Purpose: The purpose of this project was to facilitate access to health information in public libraries. The speakers will discuss the development of the project and the resources used to support collection development and training. They will show participants how they can effect collaboration and use these resources with public libraries in their communities. Brief Description: The project demonstrates how the knowledge and expertise of health sciences librarians can be utilized to assist public library staff in more effectively answering consumer health information questions in the public library setting. The librarians developed a core list of recommended materials and a series of three basic workshop modules that were used to enhance collections and train staff. Results/Outcome: After completion of the original project with the city library system, the project was subsequently expanded to include public libraries in a contiguous five-county region. Evaluation Method: An evaluation form was used to obtain feedback from the workshop participants. Use statistics were collected on the core materials placed in the libraries."
"Going from one extreme to the other: a rationale for total cost recovery","Suzanne Grefsheim, executive director, National Institutes of Health, NIH Library, Bethesda, MD","Purpose: This poster will report on the rationale used to recover costs for all library services directly from National Institutes of Health (NIH) and centers and on initial reactions to this change in how the library is funded. Setting/Participants/Resources: The NIH Library supports the information needs of clinical and basic researchers working at the NIH. In recent years, as the library has expanded access to electronic resources and services, demands for access to them has grown significantly. Brief Description: As part of an organization-wide initiative, a new demand-driven "business model" was developed for implementation in Fiscal Year 2001 that responds to an expanding user base and the higher costs associated with providing a dynamic digital library presence at NIH. The old funding model relied on numbers of researchers with physical access to the library. The source of the funds was a centrally collected "tax" on the appropriations of all institutes and centers (ICs), which was then redistributed to central service units like the library. There was no connection between use of a service and how much an institute paid. Nor was there a provision to expand access to a service beyond the main campus. Under the new business model, charges for selected services for which accurate data is available are based on a three-year history of use by IC staff. However, the costs of acquiring, providing access to, and facilitating use of the library’s print and electronic collections could not be allocated in this fashion. All IC staff are potential users, so costs for these services and resources are based on census. Results/Outcomes: Service agreements assessing each IC with a portion of the library’s total operating budget were sent in September 2000. Signed agreements initiated the billing process in October, the beginning of the fiscal year. Evaluation Method: The library’s ability to continue expanding its digital resources and services under this new funding model will be a critical indicator of success."
